"sp" "environment" "DF" "SVL" "logDF" "logSVL"
"258" "Bufo_castaneoticus" "still" 1650 37.7 3.21748394421391 1.57634135020579
"259" "Bufo_coccifer" "still" 2512 62 3.40001963506516 1.79239168949825
"260" "Bufo_ibarrai" "still" 1700 82 3.23044892137827 1.91381385238372
"261" "Bufo_melanochlorus" "running" 1700 65 3.23044892137827 1.81291335664286
"262" "Bufo_luetkenii" "still" 1700 96 3.23044892137827 1.98227123303957
"263" "Bufo_valliceps" "still" 1480 77.8 3.17026171539496 1.89097959698969
"264" "Bufo_cognatus" "still" 2307 103 3.36304759452109 2.01283722470517
"265" "Bufo_speciosus" "still" 2621 78 3.4184670209466 1.89209460269048
"266" "Bufo_terrestris" "still" 2000 82 3.30102999566398 1.91381385238372
"267" "Bufo_steindachneri" "still" 2142 48.3 3.33081946649584 1.68394713075151
"268" "Bufo_pardalis" "still" 650 110 2.81291335664286 2.04139268515822
"269" "Bufo_pantherinus" "still" 2500 91 3.39794000867204 1.95904139232109
"270" "Bufo_brauni" "running" 1120 65 3.04921802267018 1.81291335664286
"271" "Bufo_gutturalis" "still" 1150 90 3.06069784035361 1.95424250943932
"272" "Bufo_calamita" "still" 1477 71 3.16938049531195 1.85125834871908
"273" "Bufo_raddei" "still" 1513 67 3.17983892802319 1.82607480270083
"274" "Bufo_asper" "running" 1031 100 3.01325866528352 2
"275" "Bufo_juxtasper" "running" 718 138 2.8561244442423 2.13987908640124
"276" "Ansonia_leptopus" "running" 3933 40 3.59472394640975 1.60205999132796
"277" "Pedostibes_tuberculosus" "running" 3782 38 3.57772152450902 1.57978359661681
"278" "Schismaderma_carens" "still" 450 88 2.65321251377534 1.94448267215017
"279" "Bufo_siculus" "still" 1600 86.6 3.20411998265592 1.93751789201735
"280" "Rhinophrynus_dorsalis" "still" 1525 75 3.1832698436828 1.8750612633917
"281" "Scaphiopus_holbrookii" "still" 1425 78 3.15381486434453 1.89209460269048
"282" "Megophrys_nasuta" "running" 2250 105 3.35218251811136 2.02118929906994
"283" "Leptolalax_pictus" "running" 7000 36 3.84509804001426 1.55630250076729
"284" "Leptolalax_oshanensis" "running" 4512 30.7 3.65436909097529 1.48713837547719
"285" "Leptobrachium_gunungense" "running" 1200 65 3.07918124604762 1.81291335664286
"286" "Leptobrachium_montanum" "running" 800 62.7 2.90308998699194 1.79726754083072
"287" "Leptopelis_kivuensis" "still" 1480 37 3.17026171539496 1.56820172406699
"288" "Phlyctimantis_verrucosus" "still" 1600 52 3.20411998265592 1.7160033436348
"289" "Heterixalus_madagascariensis" "still" 3375 35 3.52827377716704 1.54406804435028
"290" "Heterixalus_luteostriatus" "still" 3500 28 3.54406804435028 1.44715803134222
"291" "Heterixalus_betsileo" "still" 3000 28 3.47712125471966 1.44715803134222
"292" "Heterixalus_carbonei" "still" 3200 26.4 3.50514997831991 1.42160392686983
"293" "Heterixalus_tricolor" "still" 3000 26 3.47712125471966 1.41497334797082
"294" "Phrynomantis_bifasciatus" "still" 1800 53 3.25527250510331 1.72427586960079
"295" "Phrynomantis_microps" "still" 1260 47.3 3.10037054511756 1.67486114073781
"296" "Chiasmocleis_shudikarensis" "still" 3565 24.5 3.55205953418788 1.38916608436453
"297" "Hamptophryne_boliviana" "still" 2208 35 3.34399906905716 1.54406804435028
"298" "Elachistocleis_ovalis" "still" 3838 36 3.58410497039945 1.55630250076729
"299" "Hypopachus_variolosus" "still" 2750 48 3.43933269383026 1.68124123737559
"300" "Gastrophryne_elegans" "still" 3100 25.8 3.49136169383427 1.41161970596323
"301" "Gastrophryne_olivacea" "still" 4420 30.8 3.64542226934909 1.48855071650044
"302" "Scaphiophryne_spinosa" "still" 800 48 2.90308998699194 1.68124123737559
"303" "Scaphiophryne_gottlebei" "still" 950 30 2.97772360528885 1.47712125471966
"304" "Scaphiophryne_boribory" "still" 700 60 2.84509804001426 1.77815125038364
"305" "Scaphiophryne_madagascariensis" "still" 1000 49 3 1.69019608002851
"306" "Scaphiophryne_menabensis" "still" 850 42 2.92941892571429 1.6232492903979
"307" "Kaloula_pulchra" "still" 2500 70 3.39794000867204 1.84509804001426
"308" "Micryletta_inornata" "still" 5450 30 3.73639650227664 1.47712125471966
"309" "Calluella_guttulata" "still" 1950 49 3.29003461136252 1.69019608002851
"310" "Microhyla_butleri" "still" 2850 26 3.45484486000851 1.41497334797082
"311" "Microhyla_pulchra" "still" 1750 35 3.24303804868629 1.54406804435028
"312" "Ptychadena_taenioscelis" "still" 2450 35 3.38916608436453 1.54406804435028
"313" "Ptychadena_oxyrhynchus" "still" 1715 53 3.23426412437879 1.72427586960079
"314" "Ptychadena_porosissima" "still" 4091 44.1 3.61182947949837 1.64443858946784
"315" "Petropedetes_yakusini" "running" 1300 73 3.11394335230684 1.86332286012046
"316" "Tomopterna_krugerensis" "still" 2500 44.8 3.39794000867204 1.65127801399814
"317" "Microbatrachella_capensis" "still" 4900 15 3.69019608002851 1.17609125905568
"318" "Cacosternum_capense" "still" 2300 31.5 3.36172783601759 1.4983105537896
"319" "Euphlyctis_cyanophlyctis" "still" 1651 45 3.21774707326279 1.65321251377534
"320" "Euphlyctis_ehrenbergii" "still" 937 66 2.97173959088778 1.81954393554187
"321" "Fejervarya_limnocharis" "still" 2119 43 3.32613095671079 1.63346845557959
"322" "Boophis_vittatus" "running" 7250 25.5 3.86033800657099 1.40654018043396
"323" "Blommersia_sarotra" "still" 4592 16.8 3.66200187938992 1.22530928172586
"324" "Blommersia_kely" "still" 4700 15.9 3.67209785793572 1.20139712432045
"325" "Chiromantis_vittatus" "still" 3900 25.2 3.5910646070265 1.40140054078154
"326" "Chiromantis_doriae" "still" 4300 26.5 3.63346845557959 1.42324587393681
"327" "Chiromantis_rufescens" "still" 1650 49 3.21748394421391 1.69019608002851
"328" "Chiromantis_xerampelina" "still" 1700 75 3.23044892137827 1.8750612633917
"329" "Polypedates_maculatus" "still" 1550 57 3.19033169817029 1.75587485567249
"330" "Polypedates_leucomystax" "still" 1528 63 3.18412335423967 1.79934054945358
"331" "Rhacophorus_malabaricus" "still" 1260 48.3 3.10037054511756 1.68394713075151
"332" "Rhacophorus_kio" "still" 890 79.1 2.94939000664491 1.89817648349768
"333" "Rhacophorus_reinwardtii" "still" 1300 52.5 3.11394335230684 1.72015930340596
