"sp","environment","DF","SVL","logDF","logSVL"
"Blommersia_sarotra","still",4592,16.8,8.4320709379994,2.82137888640921
"Blommersia_kely","still",4700,15.9,8.45531778769815,2.76631910922619
"Chiromantis_vittatus","still",3900,25.2,8.26873183211774,3.22684399451738
"Chiromantis_doriae","still",4300,26.5,8.36637030168165,3.27714473299218
"Chiromantis_rufescens","still",1650,49,7.40853056689463,3.89182029811063
"Chiromantis_xerampelina","still",1700,75,7.43838353004431,4.31748811353631
"Polypedates_maculatus","still",1550,57,7.34601020991329,4.04305126783455
"Polypedates_leucomystax","still",1528,63,7.33171496972647,4.14313472639153
"Rhacophorus_malabaricus","still",1260,48.3,7.13886699994552,3.87743156065853
"Rhacophorus_kio","still",890,79.1,6.79122146272619,4.37071287477361
"Rhacophorus_reinwardtii","still",1300,52.5,7.17011954344963,3.96081316959758
"Rhacophorus_chenfui","still",2329,41,7.75319426988434,3.71357206670431
"Rhacophorus_schlegelii","still",1900,43,7.54960916515453,3.76120011569356
"Rhacophorus_omeimontis","still",972,70,6.87935580446044,4.24849524204936
"Staurois_natator","running",4746,35.5,8.46505743699571,3.56953269648137
"Amolops_chunganensis","running",3425,39,8.13885675069633,3.66356164612965
"Odorrana_schmackeri","running",3479,46,8.15450017515194,3.8286413964891
"Rana_utsunomiyaorum","running",2326,48.1,7.75190533307861,3.87328217711172
"Rana_supranarina","running",1840,76.8,7.51752085060303,4.34120464015363
"Rana_amamiensis","running",2850,69,7.9550742732627,4.23410650459726
"Rana_pretiosa","still",1000,75,6.90775527898214,4.31748811353631
"Rana_forreri","still",850,90,6.74523634948436,4.49980967033027
"Phyllomedusa_camba","still",860,74,6.75693238924755,4.30406509320417
"Phyllomedusa_trinitatis","still",800,81,6.68461172766793,4.39444915467244
"Phyllomedusa_neildi","still",762,63.8,6.63594655568665,4.15575319035074
"Phyllomedusa_sauvagii","still",2000,89.2,7.60090245954208,4.49088103958596
"Phyllomedusa_burmeisteri","still",1500,75.8,7.3132203870903,4.32809829264833
"Phyllomedusa_tetraploidea","still",1700,63.8,7.43838353004431,4.15575319035074
"Phyllomedusa_distincta","still",1250,66,7.13089883029635,4.18965474202643
"Phyllomedusa_hypochondrialis","still",2047,43.73,7.62413058566129,3.77803436542483
"Phyllomedusa_azurea","still",2333,43.46,7.75491027202143,3.77184097482828
"Litoria_tornieri","still",2725,33,7.91022370709734,3.49650756146648
"Cyclorana_manya","still",2500,29.9,7.82404601085629,3.39785848039664
"Hyloscirtus_palmeri","running",2500,45,7.82404601085629,3.80666248977032
"Hyloscirtus_tapichalaca","running",1469,63.8,7.29233717617388,4.15575319035074
"Hyloscirtus_lindae","running",1553,68.1,7.34794382314869,4.22097721315547
"Hyloscirtus_pantostictus","running",1570,63,7.35883089834235,4.14313472639153
"Hyloscirtus_pacha","running",1854,60.8,7.5251007461258,4.10758978897212
"Aplastodiscus_callipygius","running",1040,50.7,6.94697599213542,3.92592591059714
"Sphaenorhynchus_lacteus","still",2240,41.5,7.71423114484909,3.72569342723665
"Scinax_berthae","still",4886,22.2,8.49412925181769,3.10009228887823
"Scinax_uruguayus","still",4350,25.8,8.37793112408273,3.25037449192757
"Scinax_boulengeri","still",1615,48.7,7.38709023565676,3.88567903008854
"Scinax_sugillatus","still",2023,42,7.61233683716775,3.73766961828337
"Scinax_rostratus","still",3050,45.7,8.02289686960146,3.82209829790016
"Scinax_proboscideus","still",2012,39.8,7.60688453121963,3.68386691229039
"Scinax_staufferi","still",3056,29,8.02486215028641,3.36729582998647
"Scinax_boesemani","still",1420,31.1,7.25841215059531,3.43720781918519
"Scinax_cruentommus","still",3300,28,8.10167774745457,3.3322045101752
"Scinax_nasicus","still",1064,37,6.96979066990159,3.61091791264422
"Scinax_x-signatus","still",1110,42.5,7.01211529430638,3.74950407593037
"Scinax_ruber","still",700,41.2,6.5510803350434,3.71843825635548
"Dendropsophus_allenorum","still",3430,21.4,8.14031554015999,3.06339092202781
"Dendropsophus_marmoratus","still",1514,44,7.32251043399739,3.78418963391826
"Dendropsophus_seniculus","still",3969,37.7,8.28626945278307,3.62966009445396
