sp,environment,DF,SVL,logDF,logSVL
Ptychohyla_euthysanota,running,3100,37.3,3.491361694,1.571708832
Hyla_chinensis,still,4000,32,3.602059991,1.505149978
Hyla_meridionalis,still,2750,50,3.439332694,1.698970004
Hyla_arborea,still,2122,50,3.32674538,1.698970004
Hyla_intermedia,still,2388,50,3.378034322,1.698970004
Hyla_molleri,still,2750,45,3.439332694,1.653212514
Hyla_gratiosa,still,1840,68,3.264817823,1.832508913
Hyla_versicolor,still,2200,51,3.342422681,1.707570176
Hyla_chrysoscelis,still,2400,51,3.380211242,1.707570176
Proceratophrys_melanopogon,running,1179,49.9,3.071513805,1.698100546
Proceratophrys_avelinoi,running,1600,29.2,3.204119983,1.465382851
Proceratophrys_goyana,running,1006,46.5,3.002597981,1.667452953
Proceratophrys_concavitympanum,running,818,57.1,2.912753304,1.756636108
Cycloramphus_boraceiensis,running,1950,51.3,3.290034611,1.710117365
Thoropa_miliaris,running,600,71.5,2.77815125,1.854306042
Crossodactylus_caramaschii,running,5000,25.8,3.698970004,1.411619706
Hylodes_dactylocinus,running,2973,27,3.473194909,1.431363764
Hylodes_meridionalis,running,4400,37.5,3.643452676,1.574031268
Hylodes_perplicatus,running,3400,39.8,3.531478917,1.599883072
Batrachyla_antartandica,still,1951,36.7,3.290257269,1.564666064
Paratelmatobius_cardosoi,still,2550,17.9,3.40654018,1.252853031
Pleurodema_brachyops,still,732,49,2.864511081,1.69019608
Pleurodema_bibroni,still,1960,38,3.292256071,1.579783597
Edalorhina_perezi,still,2700,30.2,3.431363764,1.480006943
Engystomops_pustulosus,still,546,34,2.737192643,1.531478917
Engystomops_pustulatus,still,947,29.9,2.976349979,1.475671188
Engystomops_guayaco,still,2114,19.4,3.325104983,1.28780173
Engystomops_coloradorum,still,1060,24.1,3.025305865,1.382017043
Engystomops_randi,still,1116,18.56,3.047664195,1.268577972
Eupemphix_nattereri,still,710,42.7,2.851258349,1.630427875
